business_id,business_name,weighted_rating,hours_of_today,longitude,latitude
ARbfYHjtwtddBztjaf_Qng,TaylorMade Golf Experience,47,7:0-23:0,-115.1708484,36.0669136
c5N-XCk-ntpyYRsYkwH7kA,Bar Code,41,0:0-23:0,-115.131821928,36.1149054904
glVCZzuFSnf24UGYsOl2Vw,PT's,40,0:0-23:0,-115.1994302,36.1266315
RX8Q4_nu3VnAwXtHdgAKCg,Shady Grove Lounge,20,0:0-23:0,-115.182415707,36.0416535158
RiHdI0lxKCKSyFVT7CVtsw,Embassy Nightclub,35,0:0-23:0,-115.188356267,36.1275096504
_wnAPt7ehpybzQptYKNHxQ,Village Pub & Poker,22,0:0-23:0,-115.298216501,36.0920280894
6hDSwRz0n4LB2sZ9qWG4-w,USO Terminal 1,19,0:0-23:0,-115.150886701,36.0856225735
bPh7M1vos_V-g8_s-eHaNA,Rebel Republic,58,0:0-23:0,-115.188285999,36.1457431873
i_K9elBRuVJsKEl8nsu5Yg,Fun Hog Ranch,46,0:0-23:0,-115.1522608,36.1208903
7hXWFtmoJHz63SD8k56a_Q,Putter's Bar & Grill,28,0:0-23:0,-115.2645919,36.2188349
Xy8R4AnLP3LxwFIYoPfhJg,PT's Ranch,33,0:0-23:0,-115.278783627,36.0714188287
vFTKENEf3AxbodEshK5W2A,Brando's Sportsbar,49,0:0-23:0,-115.1935023,36.0384623
d4bMBIhBELF_bhkT-Sig3Q,Timbers - Cheyenne,35,0:0-23:0,-115.29619,36.2190199
Vg1C_1eqwIwkZLIXGMTW3g,Crown & Anchor British Pub,56,0:0-23:0,-115.134574,36.101467
4GXII-GU7S0ZyU6ElkhscQ,Hooters Casino Hotel,49,0:0-23:0,-115.167672,36.100562
bPKT1uKJ20bd7BlqklMR4Q,Kenny the Bartender At Rumor Hotel,15,8:0-21:0,-115.153873153,36.107611253
9hEPwq1GmU1dp3ZyBB9ASQ,PT's,30,0:0-23:0,-115.2087831,36.0764517
BjPph9SbmEfox2vip326PQ,Brooksy's Bar & Grill,46,0:0-23:0,-115.294264,36.11439
35fWtS1LZkaZ-ooKupJ1XA,Buffalo Wild Wings,45,0:0-23:0,-115.171653389,36.1084021917
t7g-VMFt0zT4laAt-2p6RA,Whiskey Down,47,0:0-23:0,-115.169803778,36.1021653122
VaKXUpmWTTWDKbpJ3aQdMw,Buffalo Wild Wings,54,0:0-23:0,-115.28142949,36.0551540144
rHmILK3NBQWiRQMr9Sk8ew,PT's,33,0:0-23:0,-115.2838739,36.1994962
Ig-ecmGaE1-0AAGut70xTg,Barefoot Bar and Grill,10,0:0-23:0,-115.1076894,36.0719017
EqUlVPI8t9A96BIvWdW1pw,Joey's Tavern,38,0:0-23:0,-115.248219,36.237869
maIam6HyU4FB_sBIk9ippA,The Lodge at Shelbourne,35,0:0-23:0,-115.2430395,36.0367255
Pd52CjgyEU3Rb8co6QfTPw,Flight Deck Bar & Grill,28,8:30-22:30,-115.1709889,36.0669372
YknjJfrNaz8gLiQ6p_R71A,LA Epic Club Crawls Las Vegas,39,0:0-23:0,-115.1544802,36.1188384
gtB-1QxTscdPj78UE5sWuQ,Shucks Tavern & Oyster Bar,51,0:0-23:0,-115.294361775,36.1152215167
0gWg-kqRLEQbhui8b_v2Xw,Hi Scores - Blue Diamond,42,0:0-23:0,-115.2056239,36.032975
vmg_VdqXVOVhUoacU2pfdw,The Bar @ Las Vegas Blvd & Wigwam,51,0:0-23:0,-115.1714093,36.0342435
RypJ1Rhq7Y8GFdP5UFbzUg,American Express Centurion Lounge,71,5:0-23:0,-115.136565693,36.0817806884
iAu8s96GKQ73Xe7j_2GyCQ,Jackson's Bar & Grill,65,0:0-23:0,-115.2235825,36.1153219
